[2026-05-01 17:10:56] [INFO    ] discord.client: logging in using static token
[2026-05-01 17:10:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-05-01 17:10:56] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-05-01 17:10:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1499264365273288855', 'username': 'Project', 'avatar': None, 'discriminator': '7769', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-05-01 17:10:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-05-01 17:10:56] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-05-01 17:10:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1499264365273288855', 'name': 'Project', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1499264365273288855', 'username': 'Project', 'avatar': None, 'discriminator': '7769', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'ba3dd661c6cacbecff01a015b5aed92ac962bb266af6c197a6e6932edbc9b81d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '754096839443087452', 'username': 'ieatthumbtacks3', 'avatar': 'a452485953030a2bd390061d1e78f886', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 10973146, 'global_name': 'puss', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#a76fda', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-05-01 17:10:57] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-05-01 17:10:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-wmds",{"micros":0.0}]']}}
[2026-05-01 17:10:57] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-05-01 17:10:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-05-01 17:10:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Project', 'primary_guild': None, 'mfa_enabled': False, 'id': '1499264365273288855', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7769', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'fff012358c2167eb606462d60706beab', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1499229786458030260'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'atlanta', 'us-central', 'us-west', 'us-east'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1499264365273288855', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-wmds",{"micros":133010,"calls":["id_created",{"micros":1545,"calls":[]},"session_lookup_time",{"micros":5408,"calls":[]},"session_lookup_finished",{"micros":20,"calls":[]},"sessions-prd-gcp-us-east1-d-95",{"micros":125533,"calls":["start_session",{"micros":80870,"calls":["prd-rpc-69bbfcc96d-drg7m",{"micros":25742,"calls":["get_user",{"micros":7603},"get_guilds",{"micros":7294},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":993},"apex_experiments",{"micros":48058},"sessions_experiments",{"micros":4},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":36,"calls":[]},"presence_started",{"micros":376,"calls":[]},"guilds_started",{"micros":69,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":44144,"calls":[]},"connect_finished",{"micros":44161,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-05-01 17:10:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-01 17:10:57] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: fff012358c2167eb606462d60706beab).
[2026-05-01 17:10:57] [DEBUG   ] discord.client: Dispatching event connect
